Date,People
19-Nov,7
19-Nov,1
19-Nov,5
19-Nov,0
20-Nov,3
20-Nov,0
20-Nov,0
20-Nov,1
20-Nov,0
20-Nov,0
20-Nov,7
20-Nov,2
20-Nov,2
20-Nov,0
20-Nov,2
20-Nov,2
20-Nov,3
20-Nov,4
20-Nov,4
20-Nov,12
20-Nov,26
20-Nov,42
20-Nov,57
20-Nov,58
20-Nov,25
20-Nov,50
20-Nov,40
20-Nov,41
20-Nov,35
20-Nov,44
20-Nov,53
20-Nov,48
20-Nov,64
20-Nov,45
20-Nov,32
20-Nov,39
20-Nov,28
20-Nov,37
20-Nov,25
20-Nov,27
20-Nov,24
20-Nov,22
20-Nov,20
20-Nov,17
20-Nov,13
20-Nov,13
20-Nov,6
20-Nov,1
20-Nov,5
20-Nov,3
20-Nov,0
20-Nov,1
21-Nov,0
21-Nov,0
21-Nov,1
21-Nov,0
21-Nov,1
21-Nov,1
21-Nov,4
21-Nov,1
21-Nov,3
21-Nov,0
21-Nov,2
21-Nov,0
21-Nov,2
21-Nov,2
21-Nov,7
21-Nov,9
21-Nov,24
21-Nov,42
21-Nov,52
21-Nov,54
21-Nov,42
21-Nov,36
21-Nov,41
21-Nov,30
21-Nov,45
21-Nov,62
21-Nov,78
21-Nov,55
21-Nov,52
21-Nov,39
21-Nov,36
21-Nov,28
21-Nov,18
21-Nov,28
21-Nov,21
21-Nov,36
21-Nov,25
21-Nov,17
21-Nov,32
21-Nov,24
21-Nov,22
21-Nov,11
21-Nov,13
21-Nov,4
21-Nov,3
21-Nov,6
21-Nov,2
21-Nov,1
22-Nov,1
22-Nov,1
22-Nov,0
22-Nov,1
22-Nov,0
22-Nov,0
22-Nov,2
22-Nov,1
22-Nov,0
22-Nov,4
22-Nov,2
22-Nov,0
22-Nov,1
22-Nov,3
22-Nov,8
22-Nov,7
22-Nov,19
22-Nov,37
22-Nov,49
22-Nov,38
22-Nov,30
22-Nov,25
22-Nov,13
22-Nov,24
22-Nov,29
22-Nov,52
22-Nov,41
22-Nov,39
22-Nov,43
22-Nov,38
22-Nov,23
22-Nov,20
22-Nov,25
22-Nov,26
22-Nov,35
22-Nov,26
22-Nov,26
22-Nov,36
22-Nov,21
22-Nov,29
22-Nov,9
22-Nov,6
22-Nov,11
22-Nov,4
22-Nov,1
22-Nov,2
22-Nov,0
22-Nov,4
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,0
23-Nov,1
23-Nov,1
23-Nov,1
23-Nov,3
23-Nov,5
23-Nov,11
23-Nov,14
23-Nov,14
23-Nov,13
23-Nov,13
23-Nov,11
23-Nov,6
23-Nov,22
23-Nov,25
23-Nov,20
23-Nov,29
23-Nov,32
23-Nov,16
23-Nov,20
23-Nov,24
23-Nov,13
23-Nov,8
23-Nov,21
23-Nov,25
23-Nov,14
23-Nov,16
23-Nov,10
23-Nov,20
23-Nov,20
23-Nov,18
23-Nov,2
23-Nov,7
23-Nov,6
23-Nov,2
23-Nov,1
23-Nov,3
23-Nov,1
24-Nov,1
24-Nov,3
24-Nov,0
24-Nov,0
24-Nov,1
24-Nov,0
24-Nov,0
24-Nov,0
24-Nov,1
24-Nov,0
24-Nov,0
24-Nov,0
24-Nov,0
24-Nov,0
24-Nov,3
24-Nov,1
24-Nov,2
24-Nov,3
24-Nov,5
24-Nov,8
24-Nov,4
24-Nov,11
24-Nov,13
24-Nov,12
24-Nov,12
24-Nov,16
24-Nov,18
24-Nov,10
24-Nov,6
24-Nov,22
24-Nov,7
24-Nov,8
24-Nov,12
24-Nov,10
24-Nov,10
24-Nov,9
24-Nov,11
24-Nov,15
24-Nov,16
24-Nov,13
24-Nov,10
24-Nov,11
24-Nov,4
24-Nov,9
24-Nov,2
24-Nov,0
24-Nov,1
24-Nov,0
25-Nov,3
25-Nov,0
25-Nov,0
25-Nov,0
25-Nov,0
25-Nov,0
25-Nov,9
25-Nov,1
25-Nov,3
25-Nov,7
25-Nov,0
25-Nov,1
25-Nov,1
25-Nov,2
25-Nov,7
25-Nov,13
25-Nov,20
25-Nov,45
25-Nov,43
25-Nov,44
25-Nov,22
25-Nov,31
25-Nov,30
25-Nov,27
25-Nov,37
25-Nov,48
25-Nov,54
25-Nov,43
25-Nov,37
25-Nov,32
25-Nov,22
25-Nov,24
25-Nov,22
25-Nov,16
25-Nov,18
25-Nov,22
25-Nov,16
25-Nov,23
25-Nov,21
25-Nov,27
25-Nov,12
25-Nov,10
25-Nov,7
25-Nov,3
25-Nov,4
25-Nov,3
25-Nov,0
25-Nov,1
26-Nov,0
26-Nov,0
26-Nov,0
26-Nov,3
26-Nov,0
26-Nov,0
